,pop_dens_sqmi,2020_HH_SIZE,Per_Unemployment,MEDINC,per_other,stop_dens_sqmi
0,2.301314162,-1.128450869,-0.836434139,-0.472793057,1.301235399,54.89130435
1,1.165326158,0.665483827,-0.778807621,-0.052161715,2.157760342,55.52407932
2,1.544640928,-1.681458376,-0.80762088,-0.054291459,0.702641482,76.72413793
3,0.348443671,-0.903858789,-0.937280546,0.773853936,2.26874497,53.125
4,0.526029942,-0.368961147,-1.268633027,2.667351136,1.638709574,56.09756098
5,2.68014392,-1.537075311,-1.239819768,1.171037608,0.827980789,73.71794872
6,1.227646162,-1.283918547,-1.268633027,2.074189609,0.244865592,53.48101266
7,3.420921488,-1.997383792,-1.16778662,1.786450844,0.692286525,95.25547445
8,-0.412788407,-0.190406843,-0.850840769,1.963130635,1.393249485,14.15929204
9,-0.607081858,-0.111987641,-0.865247398,1.118298976,0.191966824,24.25629291
10,-0.270213785,-0.106579737,-0.620334695,0.640692389,0.592718884,42.91845494
11,-0.964912484,0.530231673,-1.124566731,2.522712802,-0.085678783,29.375
12,-0.850553922,0.165125447,-0.836434139,0.035092835,1.12999507,37.3015873
13,1.620351604,0.442855067,-0.620334695,0.36009144,0.260861342,49.47916667
14,0.366931036,0.323100888,-0.389828621,0.592870658,0.394961364,62.02531646
15,0.397584349,-0.225283015,-0.43304851,0.455326365,0.801009559,49.2211838
16,-0.223181149,0.413331724,-0.677961213,0.544564045,-0.852122509,43.8172043
17,0.176181696,0.664085102,-0.361015362,-0.126082928,0.126518188,39.39393939
18,0.912107788,1.634211122,-0.260168955,-0.044938565,-0.751114907,63.1713555
19,0.991672821,1.349542318,-0.05847614,-0.165983894,-1.012936475,43.58974359
20,0.686279059,-0.103756133,-0.577114806,0.511837508,1.014316912,61.11111111
21,0.909923878,-0.62845375,-0.836434139,0.908878342,0.639912307,63.78830084
22,0.24383548,0.605108796,-0.144915918,-0.642166931,-0.248573613,55.83333333
23,0.80205066,-1.015718824,-1.052533583,1.912570868,1.224927664,63.75545852
24,0.035016048,0.277454085,1.108460858,-0.857291662,-0.428570649,56.64335664
25,0.050602823,0.135292358,1.713539301,-1.07715339,-0.643959353,56.25
26,-0.391189106,-0.053989309,0.445755896,-1.306542507,0.808411245,73.57512953
27,-0.178308036,-1.331884007,-0.375421992,1.216409077,0.892284883,65.02636204
28,-0.326064702,0.281986912,0.748295118,-1.022576378,-0.765413668,62.92834891
29,0.312863013,1.59247133,-0.260168955,-0.808211787,-1.288258759,40.30501089
30,-0.233958445,-0.185174581,-0.044069511,0.018053517,-0.320488899,53.58361775
31,1.678458234,-1.89108538,-1.311852916,1.950123403,0.659373056,103.030303
32,0.39708037,-1.48768194,-1.095753472,2.036240932,0.364393755,48.87640449
33,0.087245631,-0.166686945,-0.245762325,-0.800912309,-0.945129378,62.0
34,-0.128492676,-1.349508041,0.488975785,-0.84863134,1.373432722,63.63636364
35,-0.206415713,-0.851327139,1.915232116,-0.811166522,-0.55163222,43.10344828
36,-1.30472721,-0.577729571,3.845720483,-1.516972849,-0.600125684,64.78873239
37,0.119978535,-0.754239359,1.05083434,-0.729396724,0.013342566,74.71264368
38,0.695647382,-1.337245851,-0.332202103,-0.253637314,1.643283026,48.07692308
39,-0.661966815,-0.164995911,1.425406709,-1.296308686,1.282809842,67.76315789
40,0.684115471,-1.512294602,-0.922873917,-0.250539459,2.988499851,60.2484472
41,-0.195968983,-0.701583131,0.575415563,-1.145587575,0.634869507,71.98067633
42,0.700981161,-0.961185006,0.633042081,-0.845370053,-0.59825925,61.09215017
43,-0.338271294,-0.865797181,0.820328266,-0.702495283,-0.481067776,49.83050847
44,-0.769464758,-0.505638658,0.474569155,-0.178740454,0.519303825,49.6
45,-0.687195578,-0.131118629,0.633042081,-0.704669413,-0.944580587,35.02994012
46,-1.233312549,-0.181419673,1.454219969,-0.72072331,-0.578384869,31.14754098
47,-0.781324526,-0.320235619,0.561008933,-0.070764902,-0.708748462,45.14285714
48,-0.703526129,0.019610806,0.647448711,-0.552058004,-0.478095575,43.77593361
49,-1.358716655,-0.515406393,1.108460858,-0.40758896,0.605032798,22.16981132
50,-1.61923324,0.243951645,-0.216949066,-1.052532331,-1.273234873,11.10091743
51,-0.806920435,1.178392233,0.172029934,-0.265618651,-1.391335449,24.83221477
52,-0.801142287,0.36179362,0.532195674,-0.467888173,-0.158652494,29.21348315
53,-1.515838934,0.710300034,1.886418857,-1.428474478,-1.511567526,6.515580737
54,-1.535303097,0.409843457,-0.533894917,-0.055422641,-1.3909616,8.969465649
55,-0.659509239,0.709926899,-0.749994361,0.741689273,-1.032800771,32.62411348
56,-0.837706517,1.801437679,0.128810045,-0.38109964,-1.385489115,33.33333333
57,0.449460334,1.616858324,-0.303388843,-0.489426399,-0.990914266,53.67647059
58,-0.26460363,0.703094341,-0.202542436,0.087301312,-1.098351862,58.15602837
59,0.390088336,-0.007400983,-0.303388843,-0.02580097,-0.842609207,55.02392344
60,-0.570811616,1.252029838,0.589822192,-0.863012139,-0.959257905,43.27122153
61,0.33535647,1.990896402,0.027963637,-0.18711259,-1.415911156,38.46153846
62,0.640366828,2.650370509,0.099996786,-0.6156975,-1.459514643,49.54545455
63,-0.494328713,0.467065531,-0.533894917,-0.04385822,-0.897908708,47.45098039
64,-0.248625323,2.278165796,-0.79321425,-0.16653445,-1.297323998,26.77966102
65,0.3520352,1.548972515,-0.202542436,-0.831302643,-0.23861181,39.37677054
66,-0.519459932,0.899773326,3.082169114,-1.185244753,-0.247158872,53.96825397
67,-0.719149483,-0.013386702,1.151680747,-1.336698507,-0.054187791,57.00325733
68,-0.593523193,-0.205813192,0.805921636,-1.053186732,-0.570548499,70.14084507
69,-0.648891807,1.260649454,-0.649147954,0.451961127,-0.638153768,26.95473251
70,-0.181816923,-0.104438057,1.569473005,-0.787907289,-0.756931623,46.15384615
71,-0.941332491,0.144336114,-0.79321425,1.821307333,0.991919498,21.3836478
72,-0.607217337,0.171346854,0.719481859,-0.208886567,-0.715020134,40.20979021
73,-0.863297008,0.29042228,-0.922873917,1.380377963,0.80825515,30.25830258
74,-0.924777047,-0.006415932,0.229656452,0.170859341,0.680793216,26.66666667
75,-1.658276723,-0.720302518,-1.239819768,0.037901299,-0.117618026,2.3988006
76,2.588719119,-1.602241219,-0.620334695,-0.039712473,0.856538299,71.83908046
