,Per_No_High_School_Diploma,per_hisp,per_black,MEDINC,Per_Unemployment,stop_dens_sqmi
0,-0.28482645,-0.273201564,-0.257449686,-0.472793057,-0.836434139,54.89130435
1,-0.162621937,-0.245386716,-0.659804733,-0.052161715,-0.778807621,55.52407932
2,-0.65143999,-0.417658298,-0.491638691,-0.054291459,-0.80762088,76.72413793
3,-0.741056633,-0.313667915,-0.885502149,0.773853936,-0.937280546,53.125
4,-1.319491329,-0.528407958,-0.896729817,2.667351136,-1.268633027,56.09756098
5,-1.523165517,-0.637699434,-0.85266087,1.171037608,-1.239819768,73.71794872
6,-1.409107972,-0.737300033,-0.864510367,2.074189609,-1.268633027,53.48101266
7,-1.48243068,-0.743327632,-0.782548147,1.786450844,-1.16778662,95.25547445
8,-1.066935335,-0.604879458,-0.952434781,1.963130635,-0.850840769,14.15929204
9,-0.659586957,-0.404845787,-0.946260558,1.118298976,-0.865247398,24.25629291
10,-0.659586957,-0.074584138,-0.89485803,0.640692389,-0.620334695,42.91845494
11,-1.246168621,-0.48372611,-0.948811916,2.522712802,-1.124566731,29.375
12,-0.276679482,-0.280837955,-0.90495024,0.035092835,-0.836434139,37.3015873
13,1.083864098,0.717227719,-0.82996291,0.36009144,-0.620334695,49.47916667
14,-0.235944645,0.589292095,-0.920575628,0.592870658,-0.389828621,62.02531646
15,0.032905285,0.539746723,-0.892007422,0.455326365,-0.43304851,49.2211838
16,-0.292973417,0.209518511,-0.908945137,0.544564045,-0.677961213,43.8172043
17,0.554311208,1.069816445,-0.882092512,-0.126082928,-0.361015362,39.39393939
18,1.254950417,1.95676012,-0.899580149,-0.044938565,-0.260168955,63.1713555
19,1.654151827,2.053312594,-0.845555475,-0.165983894,-0.05847614,43.58974359
20,0.334343084,1.006719845,-0.907069707,0.511837508,-0.577114806,61.11111111
21,-0.25223858,0.362613849,-0.845194543,0.908878342,-0.836434139,63.78830084
22,1.238656482,1.062287579,-0.100375103,-0.642166931,-0.144915918,55.83333333
23,-0.667733925,-0.197275135,-0.800672981,1.912570868,-1.052533583,63.75545852
24,0.277314311,-0.342228547,1.010587953,-0.857291662,1.108460858,56.64335664
25,0.375077922,-0.838653544,1.447038893,-1.07715339,1.713539301,56.25
26,0.375077922,-0.791332492,1.250257812,-1.306542507,0.445755896,73.57512953
27,-0.846967211,-0.600541876,-0.331661337,1.216409077,-0.375421992,65.02636204
28,0.717250559,-0.555988616,1.192664425,-1.022576378,0.748295118,62.92834891
29,3.022842375,1.990041016,-0.625288767,-0.808211787,-0.260168955,40.30501089
30,1.849679048,1.531988549,-0.881911644,0.018053517,-0.044069511,53.58361775
31,-1.48243068,-0.616130495,-0.778698259,1.950123403,-1.311852916,103.030303
32,-1.18099288,-0.812878612,-0.376737616,2.036240932,-1.095753472,48.87640449
33,1.295685255,-0.761544248,-0.730919223,-0.800912309,-0.245762325,62.0
34,-0.382590061,-0.769524724,0.734646377,-0.84863134,0.488975785,63.63636364
35,-0.325561288,-0.752469732,1.297056325,-0.811166522,1.915232116,43.10344828
36,0.986100488,-0.727349983,1.295674935,-1.516972849,3.845720483,64.78873239
37,-0.178915872,-0.84683708,1.372847067,-0.729396724,1.05083434,74.71264368
38,-0.879555081,-0.883769431,0.758474601,-0.253637314,-0.332202103,48.07692308
39,0.54616424,-0.884258136,1.427798612,-1.296308686,1.425406709,67.76315789
40,-1.327638296,-0.691112814,-0.326092505,-0.250539459,-0.922873917,60.2484472
41,-0.301120385,-0.860004342,1.182201706,-1.145587575,0.575415563,71.98067633
42,-0.545529411,-0.870905879,1.453829999,-0.845370053,0.633042081,61.09215017
43,-0.643293022,-0.934430895,1.552733426,-0.702495283,0.820328266,49.83050847
44,-0.675880892,-0.966011197,1.507318119,-0.178740454,0.474569155,49.6
45,0.538017273,-0.211530197,1.000014991,-0.704669413,0.633042081,35.02994012
46,-0.244091612,-0.704207618,1.35538339,-0.72072331,1.454219969,31.14754098
47,-0.846967211,-0.80506283,1.473759316,-0.070764902,0.561008933,45.14285714
48,-0.341855223,-0.917905353,1.522552245,-0.552058004,0.647448711,43.77593361
49,-0.488500639,-0.80850581,1.133220539,-0.40758896,1.108460858,22.16981132
50,0.024758317,0.167014386,0.697999206,-1.052532331,-0.216949066,11.10091743
51,1.132745904,2.138486364,-0.916986448,-0.265618651,0.172029934,24.83221477
52,0.08178709,-0.715284532,1.389455792,-0.467888173,0.532195674,29.21348315
53,0.244726441,-0.832282632,1.524256405,-1.428474478,1.886418857,6.515580737
54,-0.301120385,1.091689605,-0.785245353,-0.055422641,-0.533894917,8.969465649
55,-0.178915872,0.965201992,-0.842437691,0.741689273,-0.749994361,32.62411348
56,1.206068612,1.953681531,-0.943295786,-0.38109964,0.128810045,33.33333333
57,2.167410782,1.956331866,-0.927995926,-0.489426399,-0.303388843,53.67647059
58,0.831308104,0.964283515,-0.93186162,0.087301312,-0.202542436,58.15602837
59,0.326196116,-0.202539263,-0.904968306,-0.02580097,-0.303388843,55.02392344
60,1.694886665,1.295969411,-0.36054076,-0.863012139,0.589822192,43.27122153
61,1.466771573,2.023153726,-0.94573856,-0.18711259,0.027963637,38.46153846
62,2.648081868,2.362221236,-0.841497916,-0.6156975,0.099996786,49.54545455
63,-0.25223858,1.116393001,-0.896908604,-0.04385822,-0.533894917,47.45098039
64,0.961659585,2.146737132,-0.898380816,-0.16653445,-0.79321425,26.77966102
65,0.815014169,1.060702604,0.073440462,-0.831302643,-0.202542436,39.37677054
66,0.709103591,-0.615234713,1.303411334,-1.185244753,3.082169114,53.96825397
67,0.635780883,-0.822122137,1.438694229,-1.336698507,1.151680747,57.00325733
68,-0.301120385,-0.892663922,1.529884184,-1.053186732,0.805921636,70.14084507
69,-0.268532515,0.597194371,0.211479478,0.451961127,-0.649147954,26.95473251
70,-0.170768904,-0.856563759,1.502720717,-0.787907289,1.569473005,46.15384615
71,-1.343932231,-0.748348819,-0.099665787,1.821307333,-0.79321425,21.3836478
72,-0.488500639,-0.912640554,1.527000936,-0.208886567,0.719481859,40.20979021
73,-1.392814037,-0.582486199,-0.879028343,1.380377963,-0.922873917,30.25830258
74,-0.871408113,-0.803683549,0.638184574,0.170859341,0.229656452,26.66666667
75,-0.863261146,-0.663676681,-0.790975871,0.037901299,-1.239819768,2.3988006
76,-1.026200497,-0.384876441,-0.617559357,-0.039712473,-0.620334695,71.83908046
